DATE,GFDGDPA188S
1939-01-01,51.58556
1940-01-01,49.27162
1941-01-01,44.46713
1942-01-01,47.72464
1943-01-01,70.21725
1944-01-01,90.93461
1945-01-01,114.07545
1946-01-01,119.10256
1947-01-01,102.99821
1948-01-01,91.81398
1949-01-01,92.70575
1950-01-01,85.68274
1951-01-01,73.59173
1952-01-01,70.53392
1953-01-01,68.34216
1954-01-01,69.33829
1955-01-01,64.49217
1956-01-01,60.68725
1957-01-01,57.44253
1958-01-01,58.12202
1959-01-01,55.11316
1960-01-01,53.56004
1961-01-01,52.04461
1962-01-01,50.15557
1963-01-01,48.67825
1964-01-01,46.18239
1965-01-01,43.41975
1966-01-01,40.38534
1967-01-01,39.58333
1968-01-01,39.19626
1969-01-01,35.94680
1970-01-01,35.48858
1971-01-01,35.04314
1972-01-01,34.07838
1973-01-01,32.71418
1974-01-01,31.31546
1975-01-01,32.16207
1976-01-01,33.57510
1977-01-01,33.93175
1978-01-01,33.02434
1979-01-01,31.57193
1980-01-01,31.81317
1981-01-01,31.01924
1982-01-01,34.01231
1983-01-01,37.74589
1984-01-01,38.75062
1985-01-01,41.88543
1986-01-01,46.30286
1987-01-01,48.31918
1988-01-01,49.67308
1989-01-01,50.83328
1990-01-01,53.76862
1991-01-01,58.43008
1992-01-01,61.37422
1993-01-01,63.43898
1994-01-01,63.71826
1995-01-01,64.40788
1996-01-01,64.18211
1997-01-01,62.59595
1998-01-01,60.44699
1999-01-01,58.20472
2000-01-01,54.90158
2001-01-01,54.52653
2002-01-01,56.67669
2003-01-01,58.99681
2004-01-01,60.21666
2005-01-01,60.63911
2006-01-01,61.17727
2007-01-01,61.93459
2008-01-01,67.87334
2009-01-01,82.19223
2010-01-01,90.23982
2011-01-01,94.99194
2012-01-01,99.09794
2013-01-01,99.61006
2014-01-01,101.55665
2015-01-01,99.45554
2016-01-01,104.44915
2017-01-01,103.69665
